"","geoNetwork.country","fullVisitorId","channelGrouping","fullVisitorId.1","device.browser","device.operatingSystem","device.deviceCategory","geoNetwork.continent","geoNetwork.subContinent","geoNetwork.country.1","trafficSource.source","trafficSource.medium","totals.hits","totals.pageviews","date","trafficSource.adContent","device.isMobile","avgGDP","gni2017","gni_cat","totals.transactionRevenue","summedRevenue","summedRevenue_log","totals.transactionRevenue_log"
"39","Other",602050736534015232,"Direct",602050736534015232,"Chrome","iOS","desktop","Europe","Northern Europe","Ireland","(direct)","(none)",16,15,20170501,"","False",78607.8187432953,54070,"High income",33590000,33590000,17.3297389615885,17.3297389615885
"40","Other",4448909175588119552,"Organic Search",4448909175588119552,"Chrome","Windows","desktop","Asia","Western Asia","Israel","google","organic",23,21,20170611,"","False",38829.0144048759,37860,"High income",47070000,47070000,17.6671464133773,17.6671464133773
"41","Other",180651560743135712,"Organic Search",180651560743135712,"Safari","iOS","mobile","Asia","Eastern Asia","Japan","google","organic",51,39,20160822,"","True",40726.7480625706,38430,"High income",25490000,25490000,17.0537967763523,17.0537967763523
"42","Other",6030957980134486016,"Organic Search",6030957980134486016,"Chrome","Windows","desktop","Americas","Central America","Mexico","google","organic",9,9,20161118,"","False",19729.6392955422,8920,"High-Middle income",50970000,50970000,17.7467477823162,17.7467477823162
"43","Other",7190366246319920128,"Organic Search",7190366246319920128,"Chrome","iOS","desktop","Americas","Central America","Mexico","google","organic",33,29,20161209,"","False",19729.6392955422,8920,"High-Middle income",50970000,50970000,17.7467477823162,17.7467477823162
"44","Other",827721047010562304,"Referral",827721047010562304,"Chrome","iOS","desktop","Americas","Central America","Mexico","mall.googleplex.com","referral",39,29,20161213,"","False",19729.6392955422,8920,"High-Middle income",129190000,129190000,18.6767947469365,18.6767947469365
"45","Other",2308970056076735488,"Referral",2308970056076735488,"Chrome","Windows","desktop","Oceania","Australasia","New Zealand","mall.googleplex.com","referral",12,11,20170111,"","False",42274.5161234243,38910,"High income",47970000,47970000,17.6860863734782,17.6860863734782
"46","Other",1253103077765832704,"Direct",1253103077765832704,"Other","Windows","desktop","Americas","Caribbean","Puerto Rico","(direct)","(none)",18,18,20170312,"","False",34400.8971223054,20000,"High income",19990000,19990000,16.8107427064766,16.8107427064766
"47","Other",1927175312147751424,"Referral",1927175312147751424,"Chrome","iOS","desktop","Americas","Caribbean","Puerto Rico","mall.googleplex.com","referral",61,51,20161209,"","False",34400.8971223054,20000,"High income",44970000,44970000,17.6215061587469,17.6215061587469
"48","Other",4228070656276504064,"Organic Search",4228070656276504064,"Chrome","iOS","desktop","Americas","Caribbean","St. Lucia","google","organic",35,32,20160822,"","False",14907.7799171045,10080,"High-Middle income",13950000,13950000,16.4509900662317,16.4509900662317
"49","Other",9732592243898925056,"Direct",9732592243898925056,"Safari","iOS","desktop","Europe","Northern Europe","Sweden","(direct)","(none)",13,11,20170621,"","False",51877.2262351828,53030,"High income",12990000,12990000,16.3796903886468,16.3796903886468
"50","Other",2393197369360097792,"Referral",2393197369360097792,"Chrome","iOS","desktop","Europe","Western Europe","Switzerland","mall.googleplex.com","referral",26,21,20160811,"","False",69476.7672283916,81520,"High income",94490000,94490000,18.3640045667588,18.3640045667588
"51","Other",4633520197382116352,"Organic Search",4633520197382116352,"Chrome","iOS","desktop","Europe","Northern Europe","United Kingdom","google","organic",28,22,20170515,"","False",45683.7804943036,41280,"High income",59970000,59970000,17.9093549951447,17.9093549951447
"52","Other",6696207158105789440,"Organic Search",6696207158105789440,"Chrome","Windows","desktop","Europe","Northern Europe","United Kingdom","google","organic",48,36,20161216,"","False",45683.7804943036,41280,"High income",47900000,47900000,17.6846260623811,17.6846260623811
"53","Other",6600298028142783488,"Organic Search",6600298028142783488,"Safari","iOS","desktop","Europe","Northern Europe","United Kingdom","google","organic",20,19,20161213,"","False",45683.7804943036,41280,"High income",14990000,14990000,16.5228938700788,16.5228938700788
"54","United States",25383618704224288,"Organic Search",25383618704224288,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",16,13,20160822,"","False",60269.2179913037,59460,"High income",24550000,24550000,17.0162224122048,17.0162224122048
"55","United States",30600107416389172,"Referral",30600107416389172,"Chrome","Linux","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",13,12,20161129,"","False",60269.2179913037,59460,"High income",8990000,8990000,16.0116234064478,16.0116234064478
"56","United States",38111265827681264,"Direct",38111265827681264,"Chrome","Windows","desktop","Americas","Northern America","United States","(direct)","(none)",54,39,20161014,"","False",60269.2179913037,59460,"High income",19970000,19970000,16.809741705392,16.809741705392
"57","United States",9046037663524262,"Organic Search",9046037663524262,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",23,22,20170303,"","False",60269.2179913037,59460,"High income",107180000,107180000,18.490020222031,18.490020222031
"58","United States",32658239211545928,"Direct",32658239211545928,"Chrome","Android","mobile","Americas","Northern America","United States","(direct)","(none)",19,19,20161216,"","True",60269.2179913037,59460,"High income",3980000,3980000,15.1967923772606,15.1967923772606
"59","United States",24507252193437460,"Referral",24507252193437460,"Chrome","iOS","desktop","Americas","Northern America","United States","Other","referral",16,16,20170801,"","False",60269.2179913037,59460,"High income",11960000,11960000,16.2970783064868,16.2970783064868
"60","United States",53534274976399192,"Referral",53534274976399192,"Chrome","Linux","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",27,23,20170228,"","False",60269.2179913037,59460,"High income",147970000,147970000,18.8125201084787,18.8125201084787
"61","United States",53866968780969648,"Organic Search",53866968780969648,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",39,30,20161216,"","False",60269.2179913037,59460,"High income",19990000,19990000,16.8107427064766,16.8107427064766
"62","United States",9644182629851608,"Referral",9644182629851608,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",23,17,20170630,"","False",60269.2179913037,59460,"High income",38380000,38380000,17.4630470485438,17.4630470485438
"63","United States",11018661240317812,"Referral",11018661240317812,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",16,14,20161213,"","False",60269.2179913037,59460,"High income",13590000,13590000,16.4248447861273,16.4248447861273
"64","United States",60709694942461400,"Referral",60709694942461400,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",60,45,20161112,"","False",60269.2179913037,59460,"High income",89550000,89550000,18.310307686471,18.310307686471
"65","United States",62722204677243800,"Referral",62722204677243800,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",12,10,20170126,"","False",60269.2179913037,59460,"High income",30390000,30390000,17.229624164893,17.229624164893
"66","United States",31037404193448772,"Organic Search",31037404193448772,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",29,19,20170420,"","False",60269.2179913037,59460,"High income",419110000,419110000,19.8536439732644,19.8536439732644
"67","United States",57826677844639344,"Organic Search",57826677844639344,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",17,15,20170613,"","False",60269.2179913037,59460,"High income",17590000,17590000,16.6828411167137,16.6828411167137
"68","United States",5791622267997002,"Display",5791622267997002,"Chrome","Windows","desktop","Americas","Northern America","United States","Other","cpm",33,24,20160831,"","False",60269.2179913037,59460,"High income",14300000,14300000,16.4757700952301,16.4757700952301
"69","United States",72595322994470640,"Referral",72595322994470640,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",17,14,20161129,"","False",60269.2179913037,59460,"High income",1.05e+08,1.05e+08,18.4694709081218,18.4694709081218
"70","United States",45695832453548368,"Referral",45695832453548368,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",26,18,20170420,"","False",60269.2179913037,59460,"High income",109540000,109540000,18.5118003373198,18.5118003373198
"71","United States",65245131914018328,"Referral",65245131914018328,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",43,34,20161123,"","False",60269.2179913037,59460,"High income",17590000,17590000,16.6828411167137,16.6828411167137
"72","United States",51204193313789400,"Direct",51204193313789400,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",31,23,20170501,"","False",60269.2179913037,59460,"High income",33560000,33560000,17.3288454395633,17.3288454395633
"73","United States",79827535407240784,"Direct",79827535407240784,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",54,48,20161118,"","False",60269.2179913037,59460,"High income",144730000,144730000,18.7903804956138,18.7903804956138
"74","United States",81985686030532624,"Direct",81985686030532624,"Chrome","Windows","desktop","Americas","Northern America","United States","(direct)","(none)",196,143,20161209,"","False",60269.2179913037,59460,"High income",342620000,342620000,19.6521325192666,19.6521325192666
"75","United States",47096740790346864,"Organic Search",47096740790346864,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",72,57,20161213,"","False",60269.2179913037,59460,"High income",1679720000,1679720000,21.2418929498045,21.2418929498045
"76","United States",83964139069484160,"Organic Search",83964139069484160,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",22,19,20161130,"","False",60269.2179913037,59460,"High income",19190000,19190000,16.7698998679839,16.7698998679839
"77","United States",84372863075461296,"Direct",84372863075461296,"Chrome","Windows","desktop","Americas","Northern America","United States","(direct)","(none)",16,15,20170501,"","False",60269.2179913037,59460,"High income",77810000,77810000,18.1697805155931,18.1697805155931
"78","United States",84834161383601536,"Referral",84834161383601536,"Chrome","Linux","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",32,27,20160816,"","False",60269.2179913037,59460,"High income",40480000,40480000,17.5163185829435,17.5163185829435
"79","United States",86439549065030160,"Referral",86439549065030160,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",30,25,20161209,"","False",60269.2179913037,59460,"High income",39950000,39950000,17.5031392301766,17.5031392301766
"80","United States",87919605807565392,"Organic Search",87919605807565392,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",33,25,20161129,"","False",60269.2179913037,59460,"High income",22980000,22980000,16.9501348303849,16.9501348303849
"81","United States",72256802357894336,"Referral",72256802357894336,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",10,10,20170501,"","False",60269.2179913037,59460,"High income",15990000,15990000,16.5874740848101,16.5874740848101
"82","United States",90053188432158992,"Direct",90053188432158992,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","(direct)","(none)",23,22,20170501,"","False",60269.2179913037,59460,"High income",33590000,33590000,17.3297389615885,17.3297389615885
"83","United States",7933257389091624,"Direct",7933257389091624,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",18,17,20170501,"","False",60269.2179913037,59460,"High income",33590000,33590000,17.3297389615885,17.3297389615885
"84","United States",95747507496204224,"Referral",95747507496204224,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","Other","referral",20,18,20170616,"","False",60269.2179913037,59460,"High income",2365500000,2365500000,21.5842552530355,21.5842552530355
"85","United States",97021672781707920,"Referral",97021672781707920,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",30,24,20161118,"","False",60269.2179913037,59460,"High income",57580000,57580000,17.8686858431483,17.8686858431483
"86","United States",100290510717383376,"Referral",100290510717383376,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",25,21,20170611,"","False",60269.2179913037,59460,"High income",23980000,23980000,16.9927307075636,16.9927307075636
"87","United States",102127042498450832,"Referral",102127042498450832,"Chrome","Linux","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",17,16,20161216,"","False",60269.2179913037,59460,"High income",15980000,15980000,16.5868484983024,16.5868484983024
"88","United States",103488992784926416,"Direct",103488992784926416,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",26,24,20161216,"","False",60269.2179913037,59460,"High income",63940000,63940000,17.973455701596,17.973455701596
"89","United States",25733439009029964,"Organic Search",25733439009029964,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",17,15,20161209,"","False",60269.2179913037,59460,"High income",10390000,10390000,16.1563543630754,16.1563543630754
"90","United States",28714765282885780,"Referral",28714765282885780,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",62,42,20170203,"","False",60269.2179913037,59460,"High income",84310000,84310000,18.2500110398989,18.2500110398989
"91","United States",28984301129433960,"Organic Search",28984301129433960,"Chrome","Linux","desktop","Americas","Northern America","United States","google","organic",15,12,20160816,"","False",60269.2179913037,59460,"High income",28490000,28490000,17.1650637064741,17.1650637064741
"92","United States",123061672608906752,"Direct",123061672608906752,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",17,16,20161118,"","False",60269.2179913037,59460,"High income",21990000,21990000,16.9060983625309,16.9060983625309
"93","United States",123916055895596960,"Paid Search",123916055895596960,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","google","cpc",113,84,20160811,"","False",60269.2179913037,59460,"High income",74430000,74430000,18.1253696443361,18.1253696443361
"94","United States",126587065113364512,"Organic Search",126587065113364512,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",48,30,20170613,"","False",60269.2179913037,59460,"High income",68850000,68850000,18.0474407831389,18.0474407831389
"95","United States",126612099954375840,"Direct",126612099954375840,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","(direct)","(none)",47,32,20170801,"","False",60269.2179913037,59460,"High income",1000780000,1000780000,20.7240455329045,20.7240455329045
"96","United States",127249576187763440,"Referral",127249576187763440,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",64,50,20160820,"","False",60269.2179913037,59460,"High income",229160000,229160000,19.2499310075046,19.2499310075046
"97","United States",128432477990891904,"Referral",128432477990891904,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",15,12,20170501,"","False",60269.2179913037,59460,"High income",263700000,263700000,19.3903226513235,19.3903226513235
"98","United States",135432212707864704,"Social",135432212707864704,"Chrome","iOS","desktop","Americas","Northern America","United States","Other","referral",18,14,20161209,"","False",60269.2179913037,59460,"High income",35980000,35980000,17.3984737864867,17.3984737864867
"99","United States",140251351786321744,"Organic Search",140251351786321744,"Safari","iOS","mobile","Americas","Northern America","United States","google","organic",20,17,20170621,"","True",60269.2179913037,59460,"High income",18990000,18990000,16.7594230827885,16.7594230827885
"100","United States",144847938814859360,"Referral",144847938814859360,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",21,18,20170611,"","False",60269.2179913037,59460,"High income",41590000,41590000,17.5433703117191,17.5433703117191
"101","United States",156905236318704928,"Direct",156905236318704928,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",118,85,20170303,"","False",60269.2179913037,59460,"High income",166320000,166320000,18.929424201514,18.929424201514
"102","United States",54873055567921664,"Direct",54873055567921664,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",29,24,20170501,"","False",60269.2179913037,59460,"High income",55960000,55960000,17.8401477077616,17.8401477077616
"103","United States",162341046495604768,"Organic Search",162341046495604768,"Chrome","iOS","desktop","Americas","Northern America","United States","google","organic",35,27,20160816,"","False",60269.2179913037,59460,"High income",137330000,137330000,18.7378973465065,18.7378973465065
"104","United States",163790840341192160,"Organic Search",163790840341192160,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",29,23,20170501,"","False",60269.2179913037,59460,"High income",43720000,43720000,17.5933162212726,17.5933162212726
"105","United States",170103428948217920,"Referral",170103428948217920,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",43,30,20170420,"","False",60269.2179913037,59460,"High income",21100000,21100000,16.8647835984463,16.8647835984463
"106","United States",173142935390182528,"Referral",173142935390182528,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",61,44,20160820,"","False",60269.2179913037,59460,"High income",62030000,62030000,17.9431286969493,17.9431286969493
"107","United States",173863901552294304,"Organic Search",173863901552294304,"Chrome","Chrome OS","desktop","Americas","Northern America","United States","google","organic",23,17,20170303,"","False",60269.2179913037,59460,"High income",16780000,16780000,16.6356982590033,16.6356982590033
"108","United States",175318834283875520,"Referral",175318834283875520,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",48,36,20170203,"","False",60269.2179913037,59460,"High income",464800000,464800000,19.957117763502,19.957117763502
"109","United States",175697895967494528,"Direct",175697895967494528,"Safari","iOS","mobile","Americas","Northern America","United States","(direct)","(none)",15,13,20161216,"","True",60269.2179913037,59460,"High income",10970000,10970000,16.2106748322514,16.2106748322514
"110","United States",72965257504694288,"Referral",72965257504694288,"Chrome","Linux","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",18,14,20170623,"","False",60269.2179913037,59460,"High income",16790000,16790000,16.6362940290537,16.6362940290537
"111","United States",179180640146798688,"Direct",179180640146798688,"Chrome","Windows","desktop","Americas","Northern America","United States","(direct)","(none)",42,27,20170501,"","False",60269.2179913037,59460,"High income",262700000,262700000,19.3865232546558,19.3865232546558
"112","United States",76255265047374256,"Referral",76255265047374256,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",23,20,20170616,"","False",60269.2179913037,59460,"High income",12310000,12310000,16.3259224981606,16.3259224981606
"113","United States",185467632009737920,"Referral",185467632009737920,"Chrome","Windows","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",13,12,20160902,"","False",60269.2179913037,59460,"High income",26250000,26250000,17.0831765470019,17.0831765470019
"114","United States",188308435688462848,"Referral",188308435688462848,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",53,40,20170801,"","False",60269.2179913037,59460,"High income",30790000,30790000,17.2427005199007,17.2427005199007
"115","United States",82422266360134560,"Referral",82422266360134560,"Chrome","iOS","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",68,50,20161123,"","False",60269.2179913037,59460,"High income",17180000,17180000,16.6592564745204,16.6592564745204
"116","United States",196352031623164160,"Referral",196352031623164160,"Chrome","Windows","desktop","Americas","Northern America","United States","mall.googleplex.com","referral",13,11,20161209,"","False",60269.2179913037,59460,"High income",17590000,17590000,16.6828411167137,16.6828411167137
"117","United States",205818826345710432,"Organic Search",205818826345710432,"Chrome","Windows","desktop","Americas","Northern America","United States","google","organic",22,17,20170126,"","False",60269.2179913037,59460,"High income",11960000,11960000,16.2970783064868,16.2970783064868
"118","United States",213071560453106432,"Direct",213071560453106432,"Chrome","iOS","desktop","Americas","Northern America","United States","(direct)","(none)",6,6,20161130,"","False",60269.2179913037,59460,"High income",27180000,27180000,17.1179919666873,17.1179919666873
"119","United States",213223799802259232,"Organic Search",213223799802259232,"Safari","iOS","mobile","Americas","Northern America","United States","google","organic",32,25,20170616,"","True",60269.2179913037,59460,"High income",3500000,3500000,15.0682735264596,15.0682735264596
